Date,Open,High,Low,Close,Adj Close,Volume,Returns
04/12/2009,31.1,31.1,31.1,31.1,27.181767,0,0.612812811
07/12/2009,31.110001,31.110001,31.110001,31.110001,27.190506,0,0.032145061
08/12/2009,30.790001,30.790001,30.790001,30.790001,26.91082,0,-1.033943204
09/12/2009,30.809999,30.809999,30.809999,30.809999,26.928299,0,0.064930485
10/12/2009,30.98,30.98,30.98,30.98,27.076883,0,0.550259695
11/12/2009,31.09,31.09,31.09,31.09,27.173023,0,0.354434165
14/12/2009,31.43,31.43,31.43,31.43,27.470192,0,1.087680985
15/12/2009,31.370001,31.370001,31.370001,31.370001,27.417747,0,-0.191098507
16/12/2009,31.58,31.58,31.58,31.58,27.601292,0,0.667207877
17/12/2009,31.24,31.24,31.24,31.24,27.304129,0,-1.082464705
18/12/2009,31.34,31.34,31.34,31.34,27.391527,0,0.319579582
21/12/2009,31.610001,31.610001,31.610001,31.610001,27.627508,0,0.857821105
22/12/2009,31.84,31.84,31.84,31.84,27.828529,0,0.724977446
23/12/2009,32.040001,32.040001,32.040001,32.040001,28.003334,0,0.6261857
24/12/2009,32.169998,32.169998,32.169998,32.169998,28.116949,0,0.404898725
28/12/2009,32.169998,32.169998,32.169998,32.169998,28.116949,0,0
29/12/2009,32.169998,32.169998,32.169998,32.169998,28.116949,0,0
30/12/2009,32.150002,32.150002,32.150002,32.150002,28.099472,0,-0.062177564
31/12/2009,31.940001,31.940001,31.940001,31.940001,27.915934,0,-0.655314921
04/01/2010,32.490002,32.490002,32.490002,32.490002,28.396639,0,1.707315618
05/01/2010,32.540001,32.540001,32.540001,32.540001,28.44034,0,0.153776676
06/01/2010,32.689999,32.689999,32.689999,32.689999,28.571438,0,0.459898764
07/01/2010,32.799999,32.799999,32.799999,32.799999,28.66758,0,0.335932005
08/01/2010,32.919998,32.919998,32.919998,32.919998,28.772469,0,0.36521249
11/01/2010,33,33,33,33,28.842384,0,0.242697953
12/01/2010,32.709999,32.709999,32.709999,32.709999,28.588923,0,-0.882663686
13/01/2010,32.990002,32.990002,32.990002,32.990002,28.833647,0,0.852366871
14/01/2010,33.139999,33.139999,33.139999,33.139999,28.964748,0,0.453650053
15/01/2010,32.880001,32.880001,32.880001,32.880001,28.737503,0,-0.787650987
19/01/2010,33.220001,33.220001,33.220001,33.220001,29.034668,0,1.02875698
20/01/2010,32.869999,32.869999,32.869999,32.869999,28.728764,0,-1.059171345
21/01/2010,32.43,32.43,32.43,32.43,28.344202,0,-1.347635657
22/01/2010,31.940001,31.940001,31.940001,31.940001,27.915934,0,-1.522485735
25/01/2010,32.049999,32.049999,32.049999,32.049999,28.012075,0,0.34380303
26/01/2010,31.860001,31.860001,31.860001,31.860001,27.846008,0,-0.594605043
27/01/2010,31.940001,31.940001,31.940001,31.940001,27.915934,0,0.250802014
28/01/2010,31.690001,31.690001,31.690001,31.690001,27.697432,0,-0.78579356
29/01/2010,31.42,31.42,31.42,31.42,27.461447,0,-0.855660753
01/02/2010,31.799999,31.799999,31.799999,31.799999,27.793566,0,1.202146128
02/02/2010,32.220001,32.220001,32.220001,32.220001,28.160658,0,1.312134243
03/02/2010,32.040001,32.040001,32.040001,32.040001,28.003334,0,-0.560232298
04/02/2010,31.24,31.24,31.24,31.24,27.304129,0,-2.528563834
05/02/2010,31.129999,31.129999,31.129999,31.129999,27.207983,0,-0.352751329
08/02/2010,30.950001,30.950001,30.950001,30.950001,27.050657,0,-0.579912954
09/02/2010,31.360001,31.360001,31.360001,31.360001,27.409004,0,1.31602792
10/02/2010,31.32,31.32,31.32,31.32,27.374046,0,-0.127623434
11/02/2010,31.66,31.66,31.66,31.66,27.671211,0,1.079722044
12/02/2010,31.690001,31.690001,31.690001,31.690001,27.697432,0,0.094714266
16/02/2010,32.119999,32.119999,32.119999,32.119999,28.073252,0,1.347753557
17/02/2010,32.279999,32.279999,32.279999,32.279999,28.213095,0,0.496899498
18/02/2010,32.43,32.43,32.43,32.43,28.344202,0,0.46362624
19/02/2010,32.470001,32.470001,32.470001,32.470001,28.37916,0,0.123257872
22/02/2010,32.549999,32.549999,32.549999,32.549999,28.449083,0,0.246085508
23/02/2010,32.209999,32.209999,32.209999,32.209999,28.151915,0,-1.050054738
24/02/2010,32.400002,32.400002,32.400002,32.400002,28.317976,0,0.588141665
25/02/2010,32.41,32.41,32.41,32.41,28.326723,0,0.030883737
26/02/2010,32.52,32.52,32.52,32.52,28.422865,0,0.338829216
01/03/2010,32.91,32.91,32.91,32.91,28.763721,0,1.192097869
02/03/2010,33.099998,33.099998,33.099998,33.099998,28.929783,0,0.575671253
03/03/2010,33.139999,33.139999,33.139999,33.139999,28.964748,0,0.120788626
04/03/2010,33.25,33.25,33.25,33.25,29.060886,0,0.331364197
05/03/2010,33.689999,33.689999,33.689999,33.689999,29.445457,0,1.314649042
08/03/2010,33.709999,33.709999,33.709999,33.709999,29.462933,0,0.059332806
09/03/2010,33.759998,33.759998,33.759998,33.759998,29.506636,0,0.14822224
10/03/2010,33.959999,33.959999,33.959999,33.959999,29.681442,0,0.590681482
11/03/2010,34.110001,34.110001,34.110001,34.110001,29.812542,0,0.440717543
12/03/2010,34.169998,34.169998,34.169998,34.169998,29.864981,0,0.175741254
15/03/2010,34.110001,34.110001,34.110001,34.110001,29.812542,0,-0.175741254
16/03/2010,34.419998,34.419998,34.419998,34.419998,30.083473,0,0.904677374
17/03/2010,34.619999,34.619999,34.619999,34.619999,30.25828,0,0.579391484
18/03/2010,34.52,34.52,34.52,34.52,30.170885,0,-0.289247951
19/03/2010,34.34,34.34,34.34,34.34,30.013561,0,-0.522807366
22/03/2010,34.59,34.59,34.59,34.59,30.232063,0,0.725373707
23/03/2010,34.799999,34.799999,34.799999,34.799999,30.4156,0,0.605258476
24/03/2010,34.57,34.57,34.57,34.57,30.214581,0,-0.663101225
25/03/2010,34.490002,34.490002,34.490002,34.490002,30.144659,0,-0.231686255
26/03/2010,34.5,34.5,34.5,34.5,30.153404,0,0.029005907
29/03/2010,34.68,34.68,34.68,34.68,30.31072,0,0.520362637
30/03/2010,34.720001,34.720001,34.720001,34.720001,30.345684,0,0.115285449
31/03/2010,34.610001,34.610001,34.610001,34.610001,30.249542,0,-0.317325595
01/04/2010,35.009998,35.009998,35.009998,35.009998,30.599152,0,1.149125229
05/04/2010,35.400002,35.400002,35.400002,35.400002,30.940016,0,1.107806612
06/04/2010,35.52,35.52,35.52,35.52,31.044889,0,0.338382708
07/04/2010,35.400002,35.400002,35.400002,35.400002,30.940016,0,-0.338382708
08/04/2010,35.389999,35.389999,35.389999,35.389999,30.931269,0,-0.028274829
09/04/2010,35.610001,35.610001,35.610001,35.610001,31.123552,0,0.619721763
12/04/2010,35.68,35.68,35.68,35.68,31.184736,0,0.196391272
13/04/2010,35.669998,35.669998,35.669998,35.669998,31.175997,0,-0.028027253
14/04/2010,36.09,36.09,36.09,36.09,31.543081,0,1.170579043
15/04/2010,36.150002,36.150002,36.150002,36.150002,31.595526,0,0.166126605
16/04/2010,35.700001,35.700001,35.700001,35.700001,31.202221,0,-1.252625011
19/04/2010,35.619999,35.619999,35.619999,35.619999,31.132296,0,-0.224354123
20/04/2010,36.040001,36.040001,36.040001,36.040001,31.499376,0,1.172199916
21/04/2010,36.16,36.16,36.16,36.16,31.604267,0,0.332440701
22/04/2010,36.330002,36.330002,36.330002,36.330002,31.752844,0,0.469015301
23/04/2010,36.639999,36.639999,36.639999,36.639999,32.023781,0,0.849648692
26/04/2010,36.509998,36.509998,36.509998,36.509998,31.91017,0,-0.355401529
27/04/2010,35.610001,35.610001,35.610001,35.610001,31.123552,0,-2.495993615
28/04/2010,35.630001,35.630001,35.630001,35.630001,31.141043,0,0.056182813
29/04/2010,36.060001,36.060001,36.060001,36.060001,31.516859,0,1.199594927
30/04/2010,35.459999,35.459999,35.459999,35.459999,31.020834,0,-1.586356574
03/05/2010,35.77,35.77,35.77,35.77,31.292032,0,0.870445318
04/05/2010,34.849998,34.849998,34.849998,34.849998,30.487209,0,-2.605627785
05/05/2010,34.5,34.5,34.5,34.5,30.181021,0,-1.009393548
06/05/2010,33.52,33.52,33.52,33.52,29.323713,0,-2.881677701
07/05/2010,32.889999,32.889999,32.889999,32.889999,28.772572,0,-1.897393386
10/05/2010,34.290001,34.290001,34.290001,34.290001,29.997314,0,4.168527207
11/05/2010,34.299999,34.299999,34.299999,34.299999,30.006058,0,0.029145029
12/05/2010,34.849998,34.849998,34.849998,34.849998,30.487209,0,1.590792399
13/05/2010,34.560001,34.560001,34.560001,34.560001,30.233515,0,-0.835614135
14/05/2010,33.959999,33.959999,33.959999,33.959999,29.708632,0,-1.751343394
17/05/2010,33.950001,33.950001,33.950001,33.950001,29.699879,0,-0.029467159
18/05/2010,33.490002,33.490002,33.490002,33.490002,29.297466,0,-1.364194408
19/05/2010,33.279999,33.279999,33.279999,33.279999,29.113754,0,-0.629031908
20/05/2010,32.16,32.16,32.16,32.16,28.133965,0,-3.423314328
21/05/2010,32.43,32.43,32.43,32.43,28.370161,0,0.836035853
24/05/2010,32.18,32.18,32.18,32.18,28.151453,0,-0.773895422
25/05/2010,31.99,31.99,31.99,31.99,27.985245,0,-0.59215626
26/05/2010,31.91,31.91,31.91,31.91,27.915257,0,-0.250402176
